case,gamma,c,eps,m,f_s,e_s,pmax,pn,ps,K,rn,rs,Pn,Ps,Pdiff
1,0.5,1.0,0.29292929292929293,1.25,0.34,0.9684,2.0,-1.0,-1.0,-1.0,1.5,1.5,-1.5,-1.7930099393939392,-0.29300993939393916
1,0.5,1.0,0.30303030303030304,1.25,0.34,0.9684,2.0,-1.0,-1.0,-1.0,1.5,1.5,-1.5,-1.7981614545454543,-0.2981614545454543
1,0.5,1.0,0.31313131313131315,1.25,0.34,0.9684,2.0,-1.0,-1.0,-1.0,1.5,1.5,-1.5,-1.8033129696969696,-0.30331296969696964
1,0.5,1.0,0.32323232323232326,1.25,0.34,0.9684,2.0,-1.0,-1.0,-1.0,1.5,1.5,-1.5,-1.808464484848485,-0.308464484848485
1,0.5,1.0,0.33333333333333337,1.25,0.34,0.9684,2.0,-1.0,-1.0,-1.0,1.5,1.5,-1.5,-1.8136160000000001,-0.3136160000000001
1,0.5,1.0,0.3434343434343435,1.25,0.34,0.9684,2.0,-1.0,-1.0,-1.0,1.5,1.5,-1.5,-1.818767515151515,-0.318767515151515
1,0.5,1.0,0.3535353535353536,1.25,0.34,0.9684,2.0,-1.0,-1.0,-1.0,1.5,1.5,-1.5,-1.8239190303030304,-0.3239190303030304
1,0.5,1.0,0.36363636363636365,1.25,0.34,0.9684,2.0,-1.0,-1.0,-1.0,1.5,1.5,-1.5,-1.8290705454545457,-0.3290705454545457
1,0.5,1.0,0.37373737373737376,1.25,0.34,0.9684,2.0,-1.0,-1.0,-1.0,1.5,1.5,-1.5,-1.8342220606060604,-0.3342220606060604
1,0.5,1.0,0.38383838383838387,1.25,0.34,0.9684,2.0,-1.0,-1.0,-1.0,1.5,1.5,-1.5,-1.8393735757575758,-0.33937357575757576
1,0.5,1.0,0.393939393939394,1.25,0.34,0.9684,2.0,-1.0,-1.0,-1.0,1.5,1.5,-1.5,-1.8445250909090911,-0.3445250909090911
1,0.5,1.0,0.4040404040404041,1.25,0.34,0.9684,2.0,-1.0,-1.0,-1.0,1.5,1.5,-1.5,-1.8496766060606058,-0.3496766060606058
1,0.5,1.0,0.4141414141414142,1.25,0.34,0.9684,2.0,1.6187671550170069,1.634004756781147,0.23753431003401357,0.19061642249149657,0.18299762160942645,0.07266924104691347,0.07266924104691384,3.7470027081099033e-16
1,0.5,1.0,0.42424242424242425,1.25,0.34,0.9684,2.0,1.6515517896170175,1.6654790131894788,0.30310357923403514,0.17422410519149123,0.1672604934052606,0.06070807765955159,0.06070807765955157,-2.0816681711721685e-17
1,0.5,1.0,0.43434343434343436,1.25,0.34,0.9684,2.0,1.6843364242170522,1.6969532695978322,0.3686728484341043,0.1578317878914739,0.1515233652010839,0.049821746538038426,0.049821746538038454,2.7755575615628914e-17
1,0.5,1.0,0.4444444444444445,1.25,0.34,0.9684,2.0,1.7171210588170787,1.7284275260061783,0.43424211763415743,0.14143947059146067,0.13578623699691084,0.04001024768238532,0.04001024768238525,-6.938893903907228e-17
1,0.5,1.0,0.4545454545454546,1.25,0.34,0.9684,2.0,1.749905693417056,1.7599017824144796,0.499811386834112,0.12504715329147198,0.1200491087927602,0.03127358109260179,0.03127358109260104,-7.494005416219807e-16
1,0.5,1.0,0.4646464646464647,1.25,0.34,0.9684,2.0,1.7826903280171609,1.7913760388228972,0.5653806560343216,0.10865483599141956,0.1043119805885514,0.02361174676864458,0.023611746768644727,1.457167719820518e-16
1,0.5,1.0,0.4747474747474748,1.25,0.34,0.9684,2.0,1.815474962617197,1.8228502952312522,0.6309499252343943,0.09226251869140145,0.0885748523843739,0.017024744710562395,0.01702474471056255,1.5612511283791264e-16
1,0.5,1.0,0.48484848484848486,1.25,0.34,0.9684,2.0,1.848259597217087,1.8543245516394737,0.6965191944341739,0.0758702013914565,0.07283772418026313,0.011512574918360345,0.011512574918359395,-9.506284648352903e-16
1,0.5,1.0,0.494949494949495,1.25,0.34,0.9684,2.0,1.8810442318172533,1.8857988080479475,0.7620884636345067,0.059477884091373334,0.057100595976026236,0.0070752373919736825,0.007075237391973742,5.984795992119984e-17
1,0.5,1.0,0.5050505050505051,1.25,0.34,0.9684,2.0,1.9138288664172665,1.9172730644562814,0.8276577328345331,0.04308556679136677,0.041363467771859286,0.0037127321314666443,0.003712732131466604,-4.0332320816460765e-17
1,0.5,1.0,0.5151515151515152,1.25,0.34,0.9684,2.0,1.9466135010173966,1.948747320864722,0.8932270020347934,0.026693249491301696,0.025626339567639045,0.0014250591368097506,0.0014250591368099902,2.396086801192965e-16
1,0.5,1.0,0.5252525252525253,1.25,0.34,0.9684,2.0,1.9793981356172425,1.9802215772729035,0.9587962712344851,0.010300932191378731,0.009889211363548256,0.00021221840802276525,0.00021221840802266407,-1.011831677472097e-16
1,0.5,1.0,0.5353535353535354,1.25,0.34,0.9684,2.0,-1.0,-1.0,-1.0,1.5,1.5,-1.5,-1.9166463030303031,-0.41664630303030314
1,0.5,1.0,0.5454545454545455,1.25,0.34,0.9684,2.0,-1.0,-1.0,-1.0,1.5,1.5,-1.5,-1.921797818181818,-0.42179781818181805
1,0.5,1.0,0.5555555555555556,1.25,0.34,0.9684,2.0,-1.0,-1.0,-1.0,1.5,1.5,-1.5,-1.9269493333333334,-0.4269493333333334
