case,pmax,beta,gamma,p,s,r,c,rho_P,rc
1,10,0.8333333333333334,17.5,0.6408342703265402,0.35916572967345983,-6.18669983543661,1.1924990630067933,3.4129844820910926,-7.37763375686244
1,10,0.8333333333333334,18.125,0.6398533301945222,0.3601466698054777,-6.420597650418492,1.193480003138811,3.5546141155151085,-7.662854903974505
1,10,0.8333333333333334,18.75,0.6389351819706112,0.36106481802938895,-6.654465626746586,1.1943981513627224,3.6963092367503947,-7.948081442892903
1,10,0.8333333333333334,19.375,0.6380739740020125,0.36192602599798757,-6.888306428287717,1.195259359331321,3.8380636715118444,-8.233312728352997
1,10,0.8333333333333334,20.0,0.6372645608561818,0.3627354391438183,-7.122122410464444,1.1960687724771517,3.9798719986476256,-8.51854820891622
1,10,1.6666666666666667,5.0,0.9584459336097946,0.04155406639020535,-3.5930930382657538,1.7082207330568722,2.6940106121603957,-6.13779602376787
1,10,1.6666666666666667,5.625,0.951189077821839,0.04881092217816081,-4.089278722442529,1.7154775888448275,3.1253887459335896,-7.015066002890166
1,10,1.6666666666666667,6.25,0.9453078964259842,0.054692103574015695,-4.585043869033247,1.7213587702406825,3.558227301041976,-7.892505475898651
1,10,1.6666666666666667,6.875,0.9404441548096616,0.059555845190338255,-5.080492057170155,1.726222511857005,3.992140701675243,-8.770059760397828
1,10,1.6666666666666667,7.5,0.936354302692859,0.06364569730714094,-5.575695351285727,1.7303123639738076,4.426868271400014,-9.647694604080977
1,10,1.6666666666666667,8.125,0.9328669103724276,0.06713308962757228,-6.070705463800867,1.733799756294239,4.862227403875118,-10.52538765367205
1,10,1.6666666666666667,8.75,0.9298577758361244,0.07014222416387546,-6.565560478725413,1.7368088908305421,5.298086348870756,-11.403123812735927
1,10,1.6666666666666667,9.375,0.9272346884977875,0.07276531150221258,-7.060289070814896,1.7394319781688794,5.73434764761029,-12.280892584891674
1,10,1.6666666666666667,10.0,0.9249277402319923,0.07507225976800765,-7.554913246506597,1.7417389264346743,6.17093765053741,-13.158686487277501
1,10,1.6666666666666667,10.625,0.9228829600523945,0.0771170399476054,-8.049450178272615,1.743783706614272,6.607799660756629,-14.036500068075133
1,10,1.6666666666666667,11.25,0.9210580131006048,0.07894198689939509,-8.543913464339381,1.7456086535660618,7.044889319102479,-14.914329278670413
1,10,1.6666666666666667,11.875,0.9194192223391526,0.08058077766084729,-9.038314013579946,1.747247444327514,7.482171419634377,-15.792171061257116
1,10,1.6666666666666667,12.5,0.9179394611702781,0.08206053882972182,-9.532660679669757,1.7487272054963885,7.919617663489045,-16.670023071304197
1,10,1.6666666666666667,13.125,0.9165966334623037,0.08340336653769623,-10.026960723726878,1.750070033204363,8.35720504348474,-17.54788348671154
1,10,1.6666666666666667,13.75,0.9153725583216636,0.08462744167833627,-10.521220157264779,1.751294108345003,8.794914661997575,-18.425750874018494
1,10,1.6666666666666667,14.375,0.9142521391394465,0.08574786086055337,-11.015444000115151,1.75241452752722,9.232730852288286,-19.303624092964345
1,10,1.6666666666666667,15.0,0.9132227357717553,0.08677726422824464,-11.50963647695674,1.7534439308949115,9.670640516101663,-20.181502227326487
1,10,1.6666666666666667,15.625,0.912273684157894,0.087726315842106,-12.003801168859638,1.7543929825087727,10.108632617863536,-21.059384534077953
1,10,1.6666666666666667,16.25,0.9113959244831646,0.0886040755168352,-12.49794113142349,1.7552707421835019,10.546697793909546,-21.937270405519424
1,10,1.6666666666666667,16.875,0.9105817102978451,0.08941828970215478,-12.99205898780101,1.7560849563688214,10.98482804733136,-22.815159340733693
