case,alpha,beta,gamma,B,pmax,p,s,r,c,P,E,P/E
6,1.0,0.10101010101010101,0.9090978787878787,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,0.939400808080808,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,0.9697037373737373,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,1.0000066666666667,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,1.030309595959596,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,1.0606125252525254,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,1.0909154545454545,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,1.1212183838383838,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,1.1515213131313131,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,1.1818242424242424,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,1.2121271717171718,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,1.242430101010101,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,1.2727330303030302,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,1.3030359595959595,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,1.3333388888888889,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,1.3636418181818182,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,1.3939447474747475,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,1.4242476767676768,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,1.454550606060606,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,1.4848535353535353,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,1.5151564646464646,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,1.545459393939394,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,1.5757623232323232,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,1.6060652525252526,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,1.6363681818181819,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,1.666671111111111,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,1.6969740404040403,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,1.7272769696969696,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,1.757579898989899,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,1.7878828282828283,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,1.8181857575757576,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,1.8484886868686867,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,1.878791616161616,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,1.9090945454545454,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,1.9393974747474747,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,1.969700404040404,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,2.0000033333333334,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,2.0303062626262625,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,2.060609191919192,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,2.090912121212121,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,2.1212150505050507,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,2.1515179797979798,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,2.181820909090909,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,2.2121238383838384,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,2.2424267676767675,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,2.272729696969697,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,2.303032626262626,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,2.3333355555555553,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,2.363638484848485,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,2.393941414141414,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
