case,Kn,Ks,gamma,eps,m,f_s,pmax,p,r,E,P
1,0.050505050505050504,0.7070707070707071,0.4,0.1,1.25,0.34,10,5.2134545454545265,0.12425966650708291,0.11958700600775055,0.026405179132754922
1,0.050505050505050504,0.7575757575757576,0.4,0.1,1.25,0.34,10,5.393131313131313,0.11564240956738428,0.11129379239801236,0.024574012033069165
1,0.050505050505050504,0.8080808080808081,0.4,0.1,1.25,0.34,10,5.572808080808072,0.10762274892946466,0.10357570307872108,0.02286983414751117
1,0.050505050505050504,0.8585858585858586,0.4,0.1,1.25,0.34,10,5.752484848484848,0.10015924201566691,0.09639285387890976,0.021283838928329215
1,0.050505050505050504,0.9090909090909091,0.4,0.1,1.25,0.34,10,5.932161616161616,0.0932133202407587,0.08970812654642521,0.019807830551161226
1,0.050505050505050504,0.9595959595959596,0.4,0.1,1.25,0.34,10,6.111838383838381,0.08674908970404507,0.08348697693481416,0.01843418156210956
1,0.050505050505050504,1.0101010101010102,0.4,0.1,1.25,0.34,10,6.291515151515066,0.08073314570324815,0.0776972564922232,0.017155793461939642
1,0.050505050505050504,1.0606060606060606,0.4,0.1,1.25,0.34,10,6.471191919191918,0.07513440011160753,0.07230904612981064,0.0159660600237166
1,0.050505050505050504,1.1111111111111112,0.4,0.1,1.25,0.34,10,6.650868686868686,0.06992392072620796,0.06729450161121964,0.01485883315431919
1,0.050505050505050504,1.1616161616161615,0.4,0.1,1.25,0.34,10,6.830545454545454,0.06507478175725344,0.06262770966405368,0.01382839112341635
1,0.050505050505050504,1.2121212121212122,0.4,0.1,1.25,0.34,10,7.010222222222211,0.06056192468576745,0.05828455406988385,0.01286940899572553
1,0.050505050505050504,1.2626262626262625,0.4,0.1,1.25,0.34,10,7.189898989898774,0.05636202877063104,0.05424259104074022,0.011976931113758063
1,0.050505050505050504,1.3131313131313131,0.4,0.1,1.25,0.34,10,7.369575757575757,0.052453390535777564,0.05048093323807018,0.011146345488852735
1,0.050505050505050504,1.3636363636363635,0.4,0.1,1.25,0.34,10,7.549252525252524,0.0488158116148705,0.046980141834904905,0.01037335996815998
1,0.050505050505050504,1.4141414141414141,0.4,0.1,1.25,0.34,10,7.728929292929292,0.045430494373726565,0.04372212606329695,0.009653980054416896
1,0.050505050505050504,1.4646464646464645,0.4,0.1,1.25,0.34,10,7.908606060606056,0.042279944771265086,0.04069004972808643,0.008984488263893819
1,0.050505050505050504,1.5151515151515151,0.4,0.1,1.25,0.34,10,8.088282828282779,0.03934788195690555,0.03786824420379807,0.008361424915842266
1,0.050505050505050504,1.5656565656565655,0.4,0.1,1.25,0.34,10,8.267959595959027,0.03661915413728532,0.03524212746510684,0.007781570254171365
1,0.050505050505050504,1.6161616161616161,0.4,0.1,1.25,0.34,10,8.447636363636363,0.034079660277478774,0.03279812873240446,0.007241927808964241
