case,Kn,Ks,gamma,beta,c0,pmax,p,m,r,P,E_n,E_s,Etot,P/E
1,0.0,1.3131313131313131,0.8,1.7,0.5,1.25,0.8746768442517189,4.132354183599249,0.3002585245986249,0.11762648354777056,0.2960629499859798,0.0037315440604865427,0.29979449404646635,0.3923570508587765
1,0.0,1.3636363636363635,0.8,1.7,0.5,1.25,0.8747379666463965,4.208154357497987,0.30020962668288276,0.11744302932863612,0.2962344125947,0.003535555410029747,0.29976996800472977,0.39177716870818463
1,0.0,1.4141414141414141,0.8,1.7,0.5,1.25,0.8747933200143807,4.284016184477221,0.30016534398849537,0.11726913300320502,0.29639554354747943,0.003352860512239552,0.299748404059719,0.3912252122611517
1,0.0,1.4646464646464645,0.8,1.7,0.5,1.25,0.8748434669298037,4.359935738777594,0.3001252264561569,0.11710415115935335,0.29654711846698945,0.003182369245565544,0.299729487712555,0.39069946721978177
1,0.0,1.5151515151515151,0.8,1.7,0.5,1.25,0.8748889099437367,4.4359093877177616,0.30008887204501056,0.11694749277590863,0.2966898445138469,0.0030230950862169463,0.29971293960006384,0.39019834422885796
1,0.0,1.5656565656565655,0.8,1.7,0.5,1.25,0.8749300985957841,4.511933768185438,0.30005592112337265,0.11679861427608126,0.29682436723156647,0.0028741440313724154,0.2996985112629389,0.3897203685927176
1,0.0,1.6161616161616161,0.8,1.7,0.5,1.25,0.8749674355331779,4.588005767274775,0.30002605157345763,0.11665701510654149,0.2969512766445148,0.0027347048218017613,0.2996859814663166,0.3892641709023458
1,0.0,1.6666666666666667,0.8,1.7,0.5,1.25,0.8750012818844383,4.664122493269293,0.2999989744924494,0.11652223378067945,0.29707111265046965,0.002604040322256808,0.29967515297272646,0.3888284785201534
1,0.0,1.7171717171717171,0.8,1.7,0.5,1.25,0.8750319619338683,4.740281265745469,0.2999744304529053,0.11639384433235074,0.29718436989172403,0.0024814798631146145,0.2996658497548386,0.3884121077779613
1,0.0,1.7676767676767677,0.8,1.7,0.5,1.25,0.8750597672462812,4.816479594053207,0.29995218620297504,0.11627145313313,0.297291502060131,0.0023664124766454918,0.2996579145367765,0.3880139568910342
1,0.0,1.8181818181818181,0.8,1.7,0.5,1.25,0.8750849602802989,4.892715163083896,0.2999320317757608,0.11615469603192075,0.2973929257660241,0.002258280885059776,0.29965120665108386,0.3876329994798658
1,0.0,1.8686868686868687,0.8,1.7,0.5,1.25,0.875107777572361,4.968985817415314,0.29991377794211116,0.11604323578082477,0.2974890239930067,0.002156576162333489,0.2996456001553402,0.38726827866208097
1,0.0,1.9191919191919191,0.8,1.7,0.5,1.25,0.8751284325284441,5.045289555098974,0.29989725397724465,0.11593675971556396,0.2975801492175107,0.002060832973307348,0.29964098219081803,0.38691890163987264
1,0.0,1.9696969696969697,0.8,1.7,0.5,1.25,0.8751471179171875,5.1216245036657435,0.29988230566624996,0.1158349776625683,0.29766662615769424,0.0019706253549094666,0.2996372515126037,0.38658403478813086
1,0.0,2.0202020202020203,0.8,1.7,0.5,1.25,0.8751640080351677,5.197988921345892,0.2998687935718658,0.11573762004816875,0.297748754306573,0.0018855629225514108,0.2996343172291244,0.38626289911801553
1,0.0,2.0707070707070705,0.8,1.7,0.5,1.25,0.8751792606496429,5.274381181476795,0.29985659148028565,0.11564443618823549,0.29782681016482204,0.0018052875019733325,0.2996320976667954,0.38595476615738744
1,0.0,2.121212121212121,0.8,1.7,0.5,1.25,0.8751930187093457,5.350799764738862,0.29984558503252334,0.11555519273913328,0.29790104926913863,0.0017294701079543584,0.299630519377093,0.38565895416582713
1,0.0,2.1717171717171717,0.8,1.7,0.5,1.25,0.875205411863889,5.427243251012219,0.2998356705088887,0.11546967229308093,0.29797170801805867,0.0016578082393442252,0.2996295162574029,0.38537482466808887
1,0.0,2.2222222222222223,0.8,1.7,0.5,1.25,0.8752165578133196,5.503710312025613,0.2998267537493442,0.11538767210293871,0.29803900532009614,0.0015900234529732222,0.29962902877306935,0.3851017792749651
1,0.0,2.2727272727272725,0.8,1.7,0.5,1.25,0.8752265635094025,5.580199703930421,0.299818749192478,0.11530900292314784,0.29810314408156946,0.0015258591856420268,0.2996290032672115,0.38483925676685704
1,0.0,2.323232323232323,0.8,1.7,0.5,1.25,0.875235526223137,5.656710262249321,0.29981157902149036,0.11523348795503521,0.2981643125560037,0.0014650787944038282,0.2996293913504075,0.38458673041281566
