case,gamma,c,eps,m,f_s,e_s,pmax,pn,ps,K,rn,rs,Pn,Ps,Pdiff
4,1.0,1.0,0.8989898989898991,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.9090909090909092,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.9191919191919192,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.9292929292929294,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.9393939393939394,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.9494949494949496,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.9595959595959597,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.9696969696969697,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.9797979797979799,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.98989898989899,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,1.0,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
