case,alpha,beta,gamma,B,pmax,p,s,r,c,P,E,P/E
3,0.1,0.10101010101010101,0.01516,0.158,10,10.0,0.0,0.8484,0.10101010101010101,7.549903030303032,0.8484,8.8989898989899
3,0.1,0.10101010101010101,0.01617,0.158,10,10.0,0.0,0.8383,0.10101010101010101,7.460023232323232,0.8383,8.898989898989898
3,0.1,0.10101010101010101,0.01718,0.158,10,10.0,0.0,0.8282,0.10101010101010101,7.3701434343434356,0.8282,8.8989898989899
3,0.1,0.10101010101010101,0.01819,0.158,10,10.0,0.0,0.8181,0.10101010101010101,7.280263636363638,0.8181,8.8989898989899
3,0.1,0.10101010101010101,0.019200000000000002,0.158,10,10.0,0.0,0.808,0.10101010101010101,7.190383838383839,0.808,8.8989898989899
3,0.1,0.10101010101010101,0.020210000000000002,0.158,10,10.0,0.0,0.7978999999999999,0.10101010101010101,7.10050404040404,0.7978999999999999,8.8989898989899
3,0.1,0.10101010101010101,0.02122,0.158,10,10.0,0.0,0.7878000000000001,0.10101010101010101,7.010624242424243,0.7878000000000001,8.8989898989899
3,0.1,0.10101010101010101,0.02223,0.158,10,10.0,0.0,0.7777000000000001,0.10101010101010101,6.920744444444446,0.7777000000000001,8.8989898989899
3,0.1,0.10101010101010101,0.02324,0.158,10,10.0,0.0,0.7676000000000001,0.10101010101010101,6.830864646464648,0.7676000000000001,8.8989898989899
3,0.1,0.10101010101010101,0.02425,0.158,10,10.0,0.0,0.7575000000000001,0.10101010101010101,6.74098484848485,0.7575000000000001,8.8989898989899
3,0.1,0.10101010101010101,0.02526,0.158,10,10.0,0.0,0.7474000000000001,0.10101010101010101,6.651105050505052,0.7474000000000001,8.8989898989899
3,0.1,0.10101010101010101,0.02627,0.158,10,10.0,0.0,0.7373,0.10101010101010101,6.561225252525253,0.7373,8.8989898989899
3,0.1,0.10101010101010101,0.027280000000000002,0.158,10,10.0,0.0,0.7272,0.10101010101010101,6.471345454545455,0.7272,8.8989898989899
3,0.1,0.10101010101010101,0.02829,0.158,10,10.0,0.0,0.7171000000000001,0.10101010101010101,6.381465656565657,0.7171000000000001,8.8989898989899
3,0.1,0.10101010101010101,0.0293,0.158,10,10.0,0.0,0.7070000000000001,0.10101010101010101,6.29158585858586,0.7070000000000001,8.8989898989899
3,0.1,0.10101010101010101,0.03031,0.158,10,10.0,0.0,0.6969000000000001,0.10101010101010101,6.201706060606061,0.6969000000000001,8.8989898989899
3,0.1,0.10101010101010101,0.03132000000000001,0.158,10,10.0,0.0,0.6867999999999999,0.10101010101010101,6.111826262626262,0.6867999999999999,8.8989898989899
3,0.1,0.10101010101010101,0.032330000000000005,0.158,10,10.0,0.0,0.6767,0.10101010101010101,6.021946464646464,0.6767,8.898989898989898
3,0.1,0.10101010101010101,0.03334,0.158,10,10.0,0.0,0.6666,0.10101010101010101,5.932066666666667,0.6666,8.8989898989899
3,0.1,0.10101010101010101,0.034350000000000006,0.158,10,10.0,0.0,0.6565,0.10101010101010101,5.842186868686869,0.6565,8.8989898989899
3,0.1,0.10101010101010101,0.03536,0.158,10,10.0,0.0,0.6464,0.10101010101010101,5.752307070707071,0.6464,8.8989898989899
3,0.1,0.10101010101010101,0.036370000000000006,0.158,10,10.0,0.0,0.6362999999999999,0.10101010101010101,5.662427272727271,0.6362999999999999,8.898989898989898
3,0.1,0.10101010101010101,0.037380000000000004,0.158,10,10.0,0.0,0.6262,0.10101010101010101,5.572547474747475,0.6262,8.8989898989899
3,0.1,0.10101010101010101,0.03839000000000001,0.158,10,10.0,0.0,0.6160999999999999,0.10101010101010101,5.482667676767676,0.6160999999999999,8.8989898989899
3,0.1,0.10101010101010101,0.039400000000000004,0.158,10,10.0,0.0,0.606,0.10101010101010101,5.392787878787879,0.606,8.8989898989899
3,0.1,0.10101010101010101,0.04041000000000001,0.158,10,10.0,0.0,0.5958999999999999,0.10101010101010101,5.302908080808081,0.5958999999999999,8.898989898989901
3,0.1,0.10101010101010101,0.041420000000000005,0.158,10,10.0,0.0,0.5857999999999999,0.10101010101010101,5.213028282828282,0.5857999999999999,8.8989898989899
3,0.1,0.10101010101010101,0.04243,0.158,10,10.0,0.0,0.5757,0.10101010101010101,5.1231484848484845,0.5757,8.898989898989898
3,0.1,0.10101010101010101,0.043440000000000006,0.158,10,10.0,0.0,0.5655999999999999,0.10101010101010101,5.033268686868686,0.5655999999999999,8.8989898989899
3,0.1,0.10101010101010101,0.04445,0.158,10,10.0,0.0,0.5555,0.10101010101010101,4.943388888888889,0.5555,8.8989898989899
3,0.1,0.10101010101010101,0.04546000000000001,0.158,10,10.0,0.0,0.5453999999999999,0.10101010101010101,4.85350909090909,0.5453999999999999,8.8989898989899
3,0.1,0.10101010101010101,0.046470000000000004,0.158,10,10.0,0.0,0.5352999999999999,0.10101010101010101,4.763629292929293,0.5352999999999999,8.898989898989901
3,0.1,0.10101010101010101,0.04748000000000001,0.158,10,10.0,0.0,0.5251999999999999,0.10101010101010101,4.673749494949495,0.5251999999999999,8.8989898989899
3,0.1,0.10101010101010101,0.048490000000000005,0.158,10,10.0,0.0,0.5150999999999999,0.10101010101010101,4.583869696969696,0.5150999999999999,8.8989898989899
3,0.1,0.10101010101010101,0.0495,0.158,10,10.0,0.0,0.505,0.10101010101010101,4.493989898989899,0.505,8.8989898989899
